"player_name","player_id","woba","xwoba","launch_speed","launch_angle","spin_rate","velocity","effective_speed","eff_min_vel","release_extension","W","FIP","WAR"
"Adams, Austin",613534,0.297,0.311,84.3,18.6,2802,87.8,87.13,-0.7,5.83,3,3.89,0.3
"Akin, Keegan",669211,0.361,0.349,89.4,17.5,2239,87.9,87.12,-0.8,5.9,2,5.1,0.6
"Alcala, Jorge",660896,0.275,0.293,86.5,11.6,2366,93.1,92.13,-1,5.71,3,4.06,0.2
"Alcantara, Sandy",645261,0.279,0.288,87.1,3.9,2241,94.3,93.5,-0.8,5.95,9,3.42,4.3
"Alexander, Tyler",641302,0.315,0.318,88.1,17.8,2107,86.8,86.88,0.1,6.24,2,4.39,1
"Allard, Kolby",663465,0.331,0.343,89.4,14.9,2028,87.2,86.78,-0.4,6.07,3,5.37,-0.2
"Allen, Logan",663531,0.371,0.38,90.2,8.8,2148,86.3,85.85,-0.5,5.97,2,6.05,-0.4
"Alvarez, Jose",501625,0.245,0.286,85.9,7.9,2002,87.2,87.5,0.3,6.48,5,3.15,1
"Alzolay, Adbert",640470,0.312,0.326,87.6,9,2364,89.8,89.97,0.2,6.27,5,4.65,0.9
"Anderson, Brett",474463,0.328,0.363,89.5,1.5,1791,84.8,83.34,-1.5,5.88,4,4.39,0.9
"Anderson, Ian",666120,0.293,0.317,86.1,4.5,1888,89.6,90.56,1,6.89,9,4.12,1.8
"Anderson, Tyler",542881,0.319,0.315,85.2,16.7,2230,86.4,85.92,-0.5,5.97,7,4.37,2.1
"Arrieta, Jake",453562,0.4,0.373,90.2,8.3,2199,88.6,87.87,-0.7,5.85,5,6.17,-0.8
"Bard, Daniel",453268,0.35,0.315,88,12.6,2760,92.2,92.38,0.2,6.12,7,4.28,0.5
"Barlow, Scott",605130,0.275,0.282,88.3,14.6,2393,87.3,88.09,0.8,6.74,5,2.63,2.1
"Barnes, Matt",598264,0.278,0.256,89.8,18,2194,90.6,91.36,0.8,6.79,6,3.21,1.3
"Bass, Anthony",542914,0.312,0.329,88.1,10.8,2084,90.6,90.46,-0.1,6.29,3,4.93,-0.4
"Bassitt, Chris",605135,0.274,0.286,87.3,12.4,2165,88.4,88.53,0.1,6.34,12,3.34,3.3
"Bauer, Trevor",545333,0.274,0.285,89.3,19.3,2821,87.9,82.29,-5.6,6.42,8,4.03,1.8
"Bednar, David",670280,0.249,0.246,87.2,15.4,2187,90.7,91.2,0.5,6.59,3,2.69,1.2
"Bender, Anthony",669622,0.275,0.27,87.9,6.1,2358,91.1,90.32,-0.8,5.88,3,3.19,1
"Bickford, Phil",641360,0.263,0.275,89.5,12.6,2332,90.4,91.42,1,6.87,4,3.93,0.4
"Bieber, Shane",669456,0.294,0.298,89.7,9.6,2420,87.6,87.89,0.3,6.54,7,3.03,2.6
"Bielak, Brandon",656232,0.314,0.309,86.5,9.7,2338,89.7,88.44,-1.3,5.56,3,4.07,0.2
"Bleier, Richard",542947,0.256,0.269,87.1,-6,1983,87.9,88.17,0.3,6.56,3,3.01,1
"Boxberger, Brad",502202,0.274,0.286,86.7,18.1,2181,90,86.31,-3.7,5.61,5,3.65,0.8
